sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda,mau,mes
F,N,N,0,Assalariado,Médio,Casado,Casa,40,13.873972602739729,2.0,8579.93,False,1
F,N,N,0,Assalariado,Médio,Casado,Casa,56,6.383561643835616,2.0,4254.71,False,1
F,N,S,0,Pensionista,Médio,Viúvo,Casa,57,,1.0,5670.26,False,1
F,N,N,0,Pensionista,Médio,Casado,Casa,66,,2.0,1541.7,True,1
M,S,N,0,Assalariado,Médio,Casado,Casa,27,3.2164383561643834,2.0,1749.9,False,1
F,N,N,0,Assalariado,Médio,Casado,Casa,31,1.4109589041095891,2.0,2265.58,False,1
F,N,S,0,Pensionista,Médio,Solteiro,Casa,56,,1.0,9076.91,False,1
F,N,N,0,Empresário,Superior completo,Solteiro,Casa,24,0.4328767123287671,1.0,1582.5,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,42,2.4273972602739726,2.0,3152.25,False,1
F,N,N,0,Assalariado,Superior completo,União,Casa,41,14.189041095890412,2.0,10667.11,False,1
M,S,N,0,Assalariado,Médio,Casado,Casa,43,13.865753424657534,2.0,4537.51,False,1
M,S,N,2,Assalariado,Médio,Casado,Com os pais,33,0.5342465753424658,4.0,3980.08,False,1
M,S,S,0,Empresário,Médio,Solteiro,Casa,29,8.134246575342466,1.0,8490.86,False,1
M,N,S,0,Assalariado,Médio,Casado,Aluguel,39,7.120547945205479,2.0,3095.88,False,1
F,N,S,1,Assalariado,Médio,Casado,Casa,36,4.578082191780822,3.0,2996.19,False,1
F,S,S,0,Assalariado,Superior completo,Solteiro,Casa,56,10.868493150684932,1.0,9663.25,False,1
M,S,S,2,Assalariado,Superior completo,Casado,Casa,36,2.717808219178082,4.0,1138.48,False,1
F,N,S,0,Assalariado,Superior completo,Casado,Casa,47,20.895890410958906,2.0,30339.99,False,1
F,S,S,1,Assalariado,Médio,Casado,Casa,31,4.515068493150685,3.0,381.38,True,1
F,S,S,1,Pensionista,Superior completo,Casado,Casa,37,,3.0,6509.48,False,1
F,N,S,0,Assalariado,Médio,Solteiro,Casa,44,7.4301369863013695,1.0,17150.53,False,1
F,S,S,0,Assalariado,Superior completo,Separado,Aluguel,30,0.3753424657534246,1.0,598.27,True,1
F,N,S,0,Assalariado,Médio,Casado,Governamental,48,27.008219178082197,2.0,28367.89,False,1
F,S,S,1,Servidor público,Superior completo,Viúvo,Casa,49,1.1643835616438356,2.0,1542.59,False,1
F,N,N,1,Assalariado,Médio,Separado,Casa,45,2.7150684931506848,2.0,1988.78,True,1
M,N,N,1,Servidor público,Médio,Casado,Casa,42,21.46575342465753,3.0,10401.69,False,1
F,N,S,0,Empresário,Médio,Casado,Casa,48,6.471232876712329,2.0,6139.66,False,1
F,S,N,0,Pensionista,Médio,Solteiro,Casa,63,,1.0,1251.15,True,1
M,N,S,0,Pensionista,Médio,Casado,Casa,60,,2.0,15456.97,False,1
M,S,N,0,Empresário,Médio,Casado,Casa,44,8.219178082191782,2.0,5084.58,False,1
F,N,S,2,Empresário,Médio,Casado,Casa,47,3.117808219178082,4.0,1438.7,True,1
M,N,N,1,Assalariado,Médio,Casado,Casa,43,5.183561643835616,3.0,9377.01,False,1
M,N,N,0,Assalariado,Superior completo,Casado,Casa,26,8.301369863013699,2.0,6128.11,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,54,14.550684931506847,2.0,2833.34,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,47,6.83013698630137,2.0,5537.47,False,1
F,N,N,0,Pensionista,Médio,União,Com os pais,55,,2.0,5025.97,False,1
M,S,S,0,Pensionista,Médio,Casado,Casa,50,,2.0,2561.67,False,1
M,N,N,0,Pensionista,Médio,Casado,Casa,63,,2.0,4054.91,False,1
F,S,N,1,Assalariado,Superior completo,Casado,Com os pais,30,5.153424657534247,3.0,943.53,True,1
F,N,S,0,Pensionista,Superior completo,Casado,Casa,64,,2.0,10385.17,False,1
F,N,N,0,Assalariado,Médio,Separado,Casa,51,27.03013698630137,1.0,32262.58,False,1
F,N,N,0,Pensionista,Médio,Casado,Casa,56,,2.0,1388.3,False,1
F,N,S,1,Empresário,Superior completo,Casado,Casa,43,4.019178082191781,3.0,2308.25,True,1
F,S,N,0,Empresário,Superior completo,Solteiro,Casa,38,8.186301369863013,1.0,15337.1,False,1
M,S,N,2,Assalariado,Médio,Casado,Com os pais,30,6.164383561643835,4.0,4235.24,False,1
F,S,S,0,Assalariado,Médio,Casado,Casa,51,1.3068493150684932,2.0,1615.41,False,1
F,S,N,0,Assalariado,Médio,Casado,Casa,38,20.175342465753424,2.0,29102.6,False,1
F,N,N,0,Pensionista,Médio,Solteiro,Casa,57,,1.0,2442.98,False,1
M,S,S,2,Assalariado,Médio,Casado,Aluguel,35,14.983561643835616,4.0,7543.51,False,1
F,N,S,2,Assalariado,Superior completo,Casado,Casa,29,2.76986301369863,4.0,1795.19,False,1
M,N,N,0,Assalariado,Superior completo,Solteiro,Casa,25,3.2684931506849315,1.0,5967.56,False,1
F,S,S,0,Empresário,Médio,Casado,Governamental,45,8.210958904109589,2.0,4538.93,True,1
F,N,N,0,Assalariado,Médio,Casado,Governamental,42,12.221917808219178,2.0,6847.17,False,1
F,N,N,0,Empresário,Superior completo,Casado,Casa,30,7.432876712328767,2.0,2132.61,True,1
F,S,S,1,Assalariado,Médio,Casado,Casa,46,3.468493150684932,3.0,2688.97,False,1
M,S,S,1,Assalariado,Médio,Casado,Aluguel,46,3.991780821917808,3.0,2346.78,False,1
F,N,N,1,Assalariado,Médio,Casado,Casa,32,3.263013698630137,3.0,1004.03,False,1
M,S,S,0,Assalariado,Médio,Casado,Casa,50,5.06027397260274,2.0,5002.41,False,1
F,S,S,0,Empresário,Superior completo,Casado,Casa,40,4.534246575342466,2.0,1953.91,False,1
F,S,S,0,Assalariado,Superior completo,Casado,Casa,38,2.8465753424657536,2.0,3918.23,False,1
M,N,N,0,Assalariado,Superior completo,Casado,Casa,36,8.6,2.0,10740.83,False,1
F,N,S,1,Servidor público,Médio,Casado,Casa,33,13.13972602739726,3.0,7178.46,False,1
F,N,S,1,Assalariado,Médio,Solteiro,Casa,40,2.378082191780822,2.0,442.15,False,1
M,N,N,0,Servidor público,Superior completo,Solteiro,Casa,30,8.695890410958905,1.0,10653.32,False,1
F,S,S,0,Empresário,Superior completo,Casado,Casa,50,9.53972602739726,2.0,5764.45,False,1
M,S,N,1,Assalariado,Médio,Casado,Aluguel,31,9.334246575342464,3.0,1596.61,False,1
M,N,S,1,Empresário,Médio,Solteiro,Casa,36,3.408219178082192,2.0,3615.82,False,1
F,N,S,1,Empresário,Médio,Casado,Casa,49,11.284931506849317,3.0,3810.8,False,1
F,N,S,1,Empresário,Superior completo,Separado,Casa,47,15.205479452054794,2.0,21859.75,False,1
F,S,S,2,Assalariado,Superior incompleto,Casado,Casa,31,0.3534246575342465,4.0,2000.42,False,1
F,N,N,0,Assalariado,Médio,Solteiro,Com os pais,27,8.361643835616439,1.0,2388.73,False,1
M,S,N,3,Assalariado,Superior completo,Casado,Casa,38,0.8986301369863013,5.0,1633.23,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,50,7.556164383561644,2.0,2533.82,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,37,2.213698630136986,2.0,1292.24,False,1
M,S,S,0,Assalariado,Médio,Solteiro,Casa,38,14.591780821917808,1.0,8322.84,False,1
F,N,N,2,Assalariado,Médio,Separado,Casa,39,0.5150684931506849,3.0,1288.0,False,1
F,S,S,1,Assalariado,Médio,Casado,Casa,31,4.597260273972603,3.0,937.64,False,1
M,N,S,1,Assalariado,Médio,Casado,Casa,50,14.123287671232877,3.0,2299.37,False,1
F,N,S,0,Assalariado,Médio,Casado,Com os pais,36,14.257534246575345,2.0,22554.53,False,1
F,S,S,0,Pensionista,Superior completo,Casado,Casa,55,,2.0,16942.71,False,1
M,S,S,0,Empresário,Médio,Casado,Casa,59,2.682191780821918,2.0,8542.42,False,1
F,N,N,0,Assalariado,Médio,União,Casa,27,4.767123287671233,2.0,871.88,True,1
F,N,S,0,Assalariado,Médio,Casado,Casa,37,15.035616438356165,2.0,9450.41,False,1
F,N,S,1,Assalariado,Médio,Casado,Casa,34,15.687671232876712,3.0,13737.81,False,1
M,S,S,1,Assalariado,Médio,Casado,Casa,43,6.136986301369863,3.0,3299.5,False,1
F,N,S,0,Servidor público,Médio,Casado,Casa,50,19.76164383561644,2.0,23026.16,False,1
M,S,N,0,Assalariado,Médio,Solteiro,Casa,25,0.8438356164383561,1.0,1328.21,False,1
F,N,S,0,Empresário,Médio,Casado,Casa,47,11.03835616438356,2.0,5916.85,False,1
M,S,S,1,Assalariado,Médio,Casado,Casa,43,10.967123287671232,3.0,5235.29,False,1
F,N,S,0,Empresário,Médio,Casado,Casa,32,5.715068493150685,2.0,4663.04,False,1
F,N,N,0,Empresário,Superior completo,Viúvo,Casa,54,18.10410958904109,1.0,23029.35,True,1
F,N,S,2,Assalariado,Médio,União,Casa,30,4.76986301369863,4.0,5440.51,False,1
M,N,S,0,Assalariado,Médio,Casado,Casa,49,3.608219178082192,2.0,7180.68,False,1
F,N,S,0,Assalariado,Superior completo,Solteiro,Casa,28,2.180821917808219,1.0,988.61,False,1
F,N,N,1,Assalariado,Superior completo,Casado,Casa,44,5.517808219178082,3.0,1092.08,False,1
F,N,S,0,Empresário,Médio,Solteiro,Casa,50,1.7205479452054795,1.0,8307.68,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,64,1.284931506849315,2.0,2126.51,False,1
F,N,S,0,Pensionista,Médio,Viúvo,Casa,64,,1.0,3857.9,False,1
F,N,N,0,Assalariado,Médio,Solteiro,Governamental,48,27.008219178082197,2.0,44506.15,False,1
F,N,N,0,Empresário,Médio,Casado,Casa,35,14.356164383561644,2.0,20611.47,False,1
M,S,N,2,Servidor público,Superior completo,Casado,Com os pais,29,4.216438356164384,4.0,1773.58,False,1
M,N,N,0,Assalariado,Médio,Casado,Casa,28,3.4493150684931506,2.0,989.38,True,1
F,N,N,0,Empresário,Superior completo,Solteiro,Casa,24,0.4328767123287671,1.0,1582.5,False,1
F,N,S,0,Servidor público,Médio,Casado,Casa,54,6.410958904109589,2.0,18103.96,False,1
M,N,S,2,Assalariado,Médio,Casado,Casa,30,11.687671232876712,4.0,8423.81,False,1
F,S,S,3,Assalariado,Médio,Casado,Casa,38,10.967123287671232,5.0,7013.1,False,1
M,S,N,1,Servidor público,Médio,Casado,Com os pais,41,3.3835616438356166,3.0,4378.89,False,1
F,N,S,0,Empresário,Médio,Casado,Casa,46,2.5424657534246577,2.0,3435.68,True,1
M,N,S,0,Empresário,Superior completo,Casado,Casa,31,1.1232876712328768,2.0,4236.11,True,1
F,N,S,1,Assalariado,Superior completo,Casado,Casa,45,24.315068493150687,3.0,25387.16,False,1
F,N,S,0,Pensionista,Médio,Viúvo,Casa,67,,1.0,3477.39,False,1
M,S,N,1,Servidor público,Médio,Casado,Casa,40,2.7150684931506848,3.0,2988.27,False,1
M,S,N,0,Servidor público,Médio,Casado,Casa,40,8.882191780821918,2.0,4628.8,True,1
F,N,S,0,Pensionista,Médio,Casado,Casa,58,,2.0,3333.16,False,1
F,N,S,1,Assalariado,Médio,Solteiro,Casa,30,4.438356164383562,2.0,2642.25,False,1
F,N,S,0,Assalariado,Superior completo,Separado,Casa,36,1.5205479452054795,1.0,1265.45,False,1
M,N,S,0,Empresário,Superior completo,Solteiro,Casa,34,6.882191780821918,1.0,2823.64,False,1
F,S,S,1,Assalariado,Médio,Casado,Casa,31,4.597260273972603,3.0,1783.29,False,1
F,N,S,0,Empresário,Superior completo,Solteiro,Casa,49,4.391780821917808,1.0,2345.89,True,1
F,N,S,0,Empresário,Médio,Casado,Casa,46,2.5424657534246577,2.0,2333.92,False,1
F,N,S,0,Pensionista,Médio,Casado,Casa,61,,2.0,1744.11,False,1
F,N,S,0,Pensionista,Médio,Casado,Casa,62,,2.0,4318.31,False,1
M,S,S,0,Assalariado,Médio,Casado,Casa,39,9.602739726027398,2.0,1847.5,True,1
F,S,S,0,Assalariado,Superior completo,Casado,Casa,47,8.638356164383561,2.0,8476.72,False,1
F,N,S,2,Assalariado,Médio,Casado,Casa,37,4.635616438356164,4.0,3905.21,False,1
M,S,S,1,Servidor público,Médio,Casado,Casa,32,9.805479452054794,3.0,3804.47,False,1
F,N,S,2,Assalariado,Superior completo,Casado,Casa,35,12.75890410958904,4.0,11628.73,False,1
M,N,S,0,Empresário,Superior completo,Casado,Casa,52,20.315068493150687,2.0,38845.59,False,1
F,S,S,0,Empresário,Médio,Casado,Casa,37,2.9342465753424656,2.0,736.3,False,1
F,N,S,0,Pensionista,Médio,Viúvo,Casa,58,,1.0,6138.7,False,1
F,N,S,0,Empresário,Médio,Separado,Casa,49,1.7589041095890412,1.0,4994.89,False,1
F,N,N,2,Assalariado,Médio,Casado,Casa,27,4.923287671232877,4.0,2961.48,False,1
F,S,N,1,Empresário,Médio,Casado,Casa,27,1.180821917808219,3.0,1509.76,False,1
F,N,N,0,Assalariado,Médio,Separado,Casa,51,27.03013698630137,1.0,151245.14,False,1
M,S,N,0,Assalariado,Médio,Casado,Casa,53,2.350684931506849,2.0,1983.73,False,1
F,N,N,1,Empresário,Médio,Casado,Casa,30,1.7671232876712328,3.0,1561.35,False,1
M,N,N,0,Empresário,Médio,Casado,Casa,55,15.632876712328768,2.0,9024.94,False,1
M,S,N,2,Empresário,Superior completo,Casado,Casa,30,5.328767123287672,4.0,3731.16,False,1
F,S,N,0,Empresário,Superior completo,Casado,Casa,35,13.96986301369863,2.0,39305.74,False,1
M,S,S,0,Empresário,Médio,Casado,Com os pais,26,7.010958904109589,2.0,3130.37,False,1
F,S,S,0,Assalariado,Médio,Casado,Casa,39,6.594520547945206,2.0,1909.49,False,1
M,S,N,0,Assalariado,Médio,Casado,Casa,40,18.915068493150685,2.0,6510.61,False,1
F,N,S,1,Assalariado,Superior completo,Casado,Casa,34,6.383561643835616,3.0,4887.53,False,1
F,N,S,0,Empresário,Médio,Casado,Casa,56,1.810958904109589,2.0,1708.23,False,1
M,N,S,0,Empresário,Superior completo,Solteiro,Casa,27,5.282191780821917,1.0,6593.98,False,1
F,N,S,0,Assalariado,Médio,Casado,Aluguel,39,7.120547945205479,2.0,13114.31,False,1
F,N,S,0,Pensionista,Médio,Casado,Casa,61,,2.0,3161.62,False,1
M,S,S,1,Assalariado,Superior completo,Casado,Casa,45,9.454794520547946,3.0,3235.55,False,1
F,N,N,0,Pensionista,Médio,Casado,Casa,59,,2.0,1011.21,False,1
F,N,S,1,Empresário,Médio,Casado,Casa,32,9.205479452054794,3.0,2772.37,False,1
M,S,S,0,Assalariado,Superior completo,Casado,Casa,35,7.147945205479452,2.0,1160.84,False,1
F,N,S,0,Assalariado,Fundamental,Viúvo,Casa,46,6.101369863013699,1.0,1275.59,False,1
F,N,N,0,Pensionista,Médio,Casado,Casa,62,,2.0,2262.07,False,1
M,S,N,1,Empresário,Superior completo,Casado,Casa,35,4.638356164383562,3.0,6814.58,False,1
M,S,S,2,Assalariado,Superior completo,Casado,Casa,36,2.717808219178082,4.0,11035.61,False,1
M,S,S,0,Empresário,Superior completo,Casado,Estúdio,37,12.01917808219178,2.0,6914.55,False,1
M,S,S,2,Assalariado,Superior completo,Casado,Casa,31,5.216438356164384,4.0,3463.2,False,1
F,N,N,0,Pensionista,Médio,Casado,Estúdio,59,,2.0,4858.8,True,1
F,S,N,0,Assalariado,Superior incompleto,Solteiro,Com os pais,44,0.2630136986301369,1.0,4828.53,False,1
F,N,S,0,Pensionista,Médio,Casado,Casa,57,,2.0,1338.96,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,52,8.052054794520547,2.0,2572.7,False,1
F,S,N,1,Empresário,Superior completo,Solteiro,Casa,39,2.5397260273972604,2.0,2672.72,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,51,0.4301369863013699,2.0,359.24,False,1
M,S,N,0,Assalariado,Fundamental,Casado,Comunitário,36,1.1945205479452057,2.0,805.3,False,1
F,N,N,0,Pensionista,Médio,Casado,Casa,57,,2.0,2259.38,False,1
F,N,S,0,Empresário,Médio,Casado,Casa,62,4.964383561643835,2.0,1921.92,False,1
M,S,S,1,Empresário,Superior completo,União,Casa,46,6.950684931506849,3.0,21856.74,False,1
F,N,S,0,Empresário,Médio,Casado,Casa,44,5.602739726027397,2.0,1723.37,False,1
F,N,N,0,Pensionista,Médio,Casado,Casa,63,,2.0,3249.62,False,1
F,S,N,0,Empresário,Médio,Casado,Casa,41,7.871232876712328,2.0,3101.23,False,1
M,S,N,1,Assalariado,Médio,União,Casa,40,0.2438356164383561,3.0,2060.88,False,1
M,S,N,0,Assalariado,Superior completo,Casado,Casa,28,8.208219178082192,2.0,13372.57,False,1
F,S,S,0,Assalariado,Superior incompleto,Casado,Casa,51,32.75068493150685,2.0,160976.01,False,1
M,N,N,0,Servidor público,Médio,União,Casa,60,14.838356164383562,2.0,16229.63,False,1
F,S,S,0,Pensionista,Médio,Casado,Casa,63,,2.0,7814.48,False,1
F,S,N,1,Empresário,Superior completo,União,Com os pais,27,1.83013698630137,3.0,1137.31,False,1
F,S,S,1,Empresário,Superior completo,Casado,Casa,31,4.427397260273972,3.0,1078.07,False,1
F,N,S,0,Pensionista,Médio,Casado,Casa,65,,2.0,12889.23,False,1
F,N,N,0,Pensionista,Médio,Solteiro,Casa,60,,1.0,2147.43,False,1
F,S,S,0,Assalariado,Superior completo,União,Casa,54,12.131506849315068,2.0,29864.93,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,41,22.945205479452056,2.0,15265.25,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,58,18.27123287671233,2.0,9916.6,False,1
M,S,S,0,Assalariado,Médio,Casado,Casa,47,4.4301369863013695,2.0,2246.77,False,1
F,N,S,1,Assalariado,Superior incompleto,Solteiro,Casa,37,4.441095890410959,2.0,3423.97,False,1
F,S,S,0,Assalariado,Superior completo,Casado,Casa,55,20.58630136986301,2.0,18701.61,False,1
F,N,S,0,Servidor público,Superior completo,Casado,Casa,41,10.01095890410959,2.0,7929.49,False,1
F,N,S,0,Pensionista,Superior incompleto,Viúvo,Casa,59,,1.0,6112.13,False,1
F,S,S,0,Pensionista,Médio,Viúvo,Governamental,47,,1.0,2068.65,False,1
F,N,N,0,Servidor público,Superior completo,Casado,Casa,36,6.413698630136986,2.0,4885.08,False,1
M,S,N,1,Servidor público,Médio,Casado,Aluguel,42,17.958904109589042,3.0,24415.73,False,1
F,N,S,0,Pensionista,Médio,Viúvo,Casa,57,,1.0,15538.11,False,1
F,N,N,1,Servidor público,Médio,Separado,Casa,44,14.104109589041096,2.0,24086.8,False,1
M,S,S,1,Empresário,Médio,Casado,Casa,46,3.608219178082192,3.0,2221.76,False,1
F,N,S,0,Assalariado,Superior completo,Casado,Casa,35,2.2,2.0,3041.4,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,54,29.534246575342465,2.0,52894.96,False,1
F,S,S,0,Servidor público,Médio,Casado,Casa,49,5.682191780821918,2.0,6913.92,False,1
F,N,N,0,Pensionista,Médio,Casado,Casa,56,,2.0,2768.0,False,1
M,N,N,0,Assalariado,Médio,Casado,Casa,52,13.873972602739729,2.0,9557.44,False,1
F,N,N,0,Assalariado,Médio,Casado,Casa,53,3.43013698630137,2.0,1411.36,False,1
F,N,S,0,Pensionista,Médio,Casado,Casa,64,,2.0,3034.37,False,1
F,S,S,0,Assalariado,Superior completo,Separado,Casa,36,10.205479452054794,1.0,3092.76,False,1
